category,geek_rate,classificationtype,minage,avg_rate,family,title,minplayers,playingtime,yearpublished,usersrated,maxplayers,page,itemnumber,bayesaverage,mechanism,num_votes,maxplaytime,type,id,minplaytime
"Adventure,American West,Exploration,Horror,Miniatures",N/A,,12,7,Shadows of Brimstone,Shadows of Brimstone: No Man's Land Game Supplement,1,120,2015,3,4,102,16,0,"Co-operative Play,Dice Rolling,Grid Movement,Modular Board,Role Playing",3,120,boardgameexpansion/boargame,181550,120
"Adventure,American West,Exploration,Horror,Miniatures",N/A,,12,8.36,Shadows of Brimstone,Shadows of Brimstone: Blood Money Game Supplement,1,120,2015,11,4,102,19,0,"Co-operative Play,Dice Rolling,Grid Movement,Modular Board,Role Playing",11,120,boardgameexpansion/boargame,181553,120
"Adventure,American West,Exploration,Horror,Miniatures",N/A,,12,5.5,Shadows of Brimstone,Shadows of Brimstone: Ghosts of the Damned Game Supplement,1,120,2015,2,4,102,23,0,"Co-operative Play,Dice Rolling,Grid Movement,Modular Board,Role Playing",2,120,boardgameexpansion/boargame,181558,120
"Adventure,American West,Exploration,Horror,Miniatures",N/A,,12,5.5,"Crowdfunding: Kickstarter,Shadows of Brimstone",Shadows of Brimstone: Cult of the Crimson Hand Mission Pack,1,120,2015,2,4,102,29,0,"Co-operative Play,Dice Rolling,Grid Movement,Modular Board,Role Playing",2,120,boardgameexpansion/boargame,181565,120
"Animals,Expansion for Base-game,Prehistoric",5.619,,12,7.48,"Animals: Dinosaurs,Crowdfunding: Kickstarter",Evolution: Promo Pack II,2,0,2015,66,6,102,35,5.61861,Hand Management,66,0,boardgameexpansion/boargame,181592,60
"Adventure,Exploration,Fantasy,Fighting,Miniatures",5.557,,10,7.65,Super Dungeon Explore,Super Dungeon Explore: Kunoichi Candy,2,120,2015,31,6,102,39,5.55739,"Action Point Allowance System,Dice Rolling,Modular Board,Partnerships,Variable Phase Order,Variable Player Powers",31,120,boardgameexpansion/boargame,181601,120
"Expansion for Base-game,Miniatures,Movies / TV / Radio theme,Science Fiction",5.818,,12,7.67,"Campaign Games,Star Wars,Star Wars: Imperial Assault",Star Wars: Imperial Assault – General Sorin Villain Pack,2,120,2015,177,5,102,46,5.8184,"Dice Rolling,Grid Movement,Modular Board,Partnerships,Role Playing",177,120,boardgameexpansion/boargame,181629,90
"Aviation / Flight,Dice,Expansion for Base-game,Miniatures,Movies / TV / Radio theme,Science Fiction,Wargame",N/A,,14,6.4,"Star Trek,Star Trek: Attack Wing Miniatures Game",Star Trek: Attack Wing – U.S.S. Intrepid Expansion Pack,2,60,2015,5,99,102,49,0,"Action / Movement Programming,Dice Rolling,Point to Point Movement,Simultaneous Action Selection,Variable Phase Order",5,60,boardgameexpansion/boargame,181665,60
"Card Game,Comic Book / Strip,Expansion for Base-game,Fighting",5.81,,8,8.03,"Sentinel Comics,Superheroes",Sentinels of the Multiverse: The Celestial Tribunal Environment,1,60,2015,141,5,102,53,5.81004,Co-operative Play,141,60,boardgameexpansion/boargame,181682,30
"Adventure,Expansion for Base-game,Exploration,Miniatures,Movies / TV / Radio theme,Science Fiction",5.868,,12,7.85,"Campaign Games,Star Wars,Star Wars: Imperial Assault",Star Wars: Imperial Assault – Echo Base Troopers Ally Pack,2,120,2015,186,5,102,57,5.86802,"Dice Rolling,Grid Movement,Modular Board,Role Playing",186,120,boardgameexpansion/boargame,181690,90
"Adventure,Comic Book / Strip,Fighting",N/A,,13,7.2,"Crowdfunding: Kickstarter,Promotional Cards,Superheroes",Heroes Wanted: Promo Pack 2,1,60,2015,23,5,102,61,0,"Dice Rolling,Grid Movement,Hand Management,Pick-up and Deliver,Variable Player Powers",23,60,boardgameexpansion/boargame,181809,30
"Adventure,Dice,Expansion for Base-game,Exploration,Fantasy,Fighting,Miniatures",5.6,,14,7.65,"Campaign Games,Components: Miniatures,Descent,The Realms of Terrinoth",Descent: Journeys in the Dark (Second Edition) – Zarihell Lieutenant Pack,2,0,2015,72,5,102,65,5.59957,"Action Point Allowance System,Dice Rolling,Grid Movement,Hand Management,Modular Board,Partnerships,Variable Player Powers",72,0,boardgameexpansion/boargame,181826,120
"Card Game,Fantasy",5.686,,14,7.77,,Ashes: Dimona Odinstar,2,120,2015,104,4,102,71,5.6857,"Card Drafting,Hand Management,Variable Player Powers",104,120,boardgameexpansion/boargame,181876,30
"Dice,Expansion for Base-game,Sports",N/A,,13,6.86,Sports: Baseball,Bottom of the 9th: Fanatic,1,15,2015,21,2,102,75,0,"Dice Rolling,Press Your Luck,Simulation,Simultaneous Action Selection,Variable Player Powers",21,15,boardgameexpansion/boargame,181922,5
"Aviation / Flight,Trains,Transportation",N/A,,13,8,"Crowdfunding: Kickstarter,TMG Originals",Kings of Air and Steam: World's Fair,2,120,2016,1,7,102,77,0,"Action / Movement Programming,Card Drafting,Pick-up and Deliver,Route/Network Building,Simultaneous Action Selection",1,120,boardgameexpansion/boargame,181926,60
"Dice,Expansion for Base-game,Sports",N/A,,13,6.9,Sports: Baseball,Bottom of the 9th: Wraith,1,15,2015,21,2,102,79,0,"Dice Rolling,Press Your Luck,Simulation,Simultaneous Action Selection,Variable Player Powers",21,15,boardgameexpansion/boargame,181930,5
"Humor,Miniatures,Science Fiction,Wargame",N/A,,12,7,"Crowdfunding: Kickstarter,Mars",Mars Attacks: The Miniatures Game – Extermination,2,120,2014,9,2,102,84,0,"Dice Rolling,Grid Movement,Hand Management",9,120,boardgameexpansion/boargame,181977,120
"Civilization,Expansion for Base-game",N/A,,14,7,"Crowdfunding: Giochistarter,Crowdfunding: Kickstarter",Historia: Wonders Crowdfunding Promos,1,120,2015,10,6,102,89,0,"Area Control / Area Influence,Hand Management,Simultaneous Action Selection",10,120,boardgameexpansion/boargame,182015,120
"Card Game,Expansion for Base-game",N/A,,0,7.55,,Visby: Extra Player Pack,3,0,2015,12,6,102,93,0,,12,0,boardgameexpansion/boargame,182029,0
Expansion for Base-game,N/A,,0,8,,Blindes Huhn: Früher Vogel,3,0,2015,1,5,102,99,0,,1,0,boardgameexpansion/boargame,182038,0
"Card Game,Fighting,Science Fiction",5.605,,12,7.49,Star Realms,Star Realms: The Ark Promo Card,2,0,2015,54,2,103,10,5.60485,"Card Drafting,Deck / Pool Building,Take That",54,0,boardgameexpansion/boargame,182075,20
"Adventure,Expansion for Base-game,Fantasy,Mature / Adult",N/A,,17,8.11,"Campaign Games,Crowdfunding: Kickstarter,Kingdom Death,Solitaire Games",Kingdom Death: Monster – GenCon 2015 Lantern Promos,1,90,2015,18,6,103,14,0,"Co-operative Play,Dice Rolling,Role Playing",18,90,boardgameexpansion/boargame,182095,30
"Civilization,Territory Building",5.776,,12,7.51,,The Golden Ages: Cults & Culture,2,120,2015,157,5,103,17,5.77594,"Area Control / Area Influence,Card Drafting,Modular Board,Tile Placement,Worker Placement",157,120,boardgameexpansion/boargame,182176,90
"Adventure,Dice,Expansion for Base-game,Exploration,Fantasy,Fighting,Miniatures",5.668,,14,8,"Campaign Games,Components: Miniatures,Descent,Monsters,The Realms of Terrinoth",Descent: Journeys in the Dark (Second Edition) – Treaty of Champions,2,120,2015,97,5,103,19,5.66783,"Action Point Allowance System,Dice Rolling,Grid Movement,Hand Management,Modular Board,Partnerships,Variable Player Powers",97,120,boardgameexpansion/boargame,182235,120
"Card Game,Novel-based",N/A,,10,5,Crowdfunding: Spieleschmiede,Jane Austens Hochzeitsball: Traumpaare,3,30,2016,3,6,103,21,0,"Hand Management,Take That",3,30,boardgameexpansion/boargame,182294,30
"Aviation / Flight,Dice,Expansion for Base-game,Miniatures,Movies / TV / Radio theme,Science Fiction,Wargame",N/A,,14,N/A,"Star Trek,Star Trek: Attack Wing Miniatures Game",Star Trek: Attack Wing – I.R.W. Devoras Expansion Pack (cancelled),2,60,2016,0,99,103,27,0,"Action / Movement Programming,Dice Rolling,Point to Point Movement,Simultaneous Action Selection,Variable Phase Order",N/A,60,boardgameexpansion/boargame,182307,60
"Card Game,Comic Book / Strip,Expansion for Base-game,Fighting,Horror,Humor,Zombies",5.547,,13,7.42,"Movies: The Walking Dead,Munchkin",Munchkin Zombies: The Walking Dead,3,0,2015,30,6,103,29,5.54711,"Hand Management,Take That,Variable Player Powers",30,0,boardgameexpansion/boargame,182330,0
"Miniatures,Movies / TV / Radio theme,Science Fiction",5.792,,0,7.72,"Star Wars,Star Wars: X-Wing Miniatures Game",Star Wars: X-Wing Miniatures Game – Mist Hunter,0,0,2016,159,0,103,36,5.79211,,159,0,boardgameexpansion/boargame,182374,0
"Card Game,Dice,Expansion for Base-game",N/A,,15,7.25,"Crowdfunding: Kickstarter,Solitaire Games",Hostage Negotiator: Negotiator Cards – Series 2,1,30,2015,29,1,103,40,0,"Card Drafting,Dice Rolling,Hand Management",29,30,boardgameexpansion/boargame,182397,15
"Adventure,Expansion for Base-game,Fantasy",N/A,,14,7.29,,Rise of the Kage: Docks of Ryu,2,0,0,29,4,103,46,0,"Co-operative Play,Dice Rolling,Modular Board",29,0,boardgameexpansion/boargame,182511,45
"Expansion for Base-game,Fantasy,Miniatures,Wargame",N/A,,12,8,"Crowdfunding: Kickstarter,Song of Blades and Heroes",Hammer and Forge,2,120,2016,7,8,103,53,0,,7,120,boardgameexpansion/boargame,182546,45
Card Game,N/A,,8,7.5,,Yokai: Yamata No orochi,2,30,2015,1,4,103,60,0,Card Drafting,1,30,boardgameexpansion/boargame,182582,10
"Card Game,Expansion for Base-game,Fighting",N/A,,10,6.93,BattleCON,BattleCON: Evil Hikaru Promo,2,45,2015,7,5,103,64,0,"Hand Management,Point to Point Movement,Simultaneous Action Selection,Variable Player Powers",7,45,boardgameexpansion/boargame,182610,45
"Card Game,Expansion for Base-game,Fighting",N/A,,10,7.88,BattleCON,BattleCON: Vincent Grey Promo,2,45,2015,12,5,103,68,0,"Hand Management,Point to Point Movement,Simultaneous Action Selection,Variable Player Powers",12,45,boardgameexpansion/boargame,182614,45
"Bluffing,Card Game,Expansion for Base-game,Humor,Party Game",N/A,,13,7.17,Crowdfunding: Kickstarter,The Great Debate: 2015 Expansion,3,45,2015,6,10,103,73,0,"Acting,Storytelling,Voting",6,45,boardgameexpansion/boargame,182663,20
"Card Game,Comic Book / Strip,Expansion for Base-game",6.519,"cgs,thematic",14,8.16,"Comics: Marvel Universe,Legendary,Solitaire Games,Superheroes",Legendary: Secret Wars – Volume 2,1,60,2015,679,5,103,75,6.51913,"Co-operative Play,Deck / Pool Building",679,60,boardgameexpansion/boargame,182692,30
"Bluffing,Economic,Expansion for Base-game,Mafia,Transportation",N/A,,10,5,Crowdfunding: Spieleschmiede,Scheffeln: Run-expansion,2,20,2014,1,4,103,77,0,,1,20,boardgameexpansion/boargame,182753,20
"Bluffing,Economic,Expansion for Base-game,Mafia,Transportation",N/A,,10,N/A,Crowdfunding: Spieleschmiede,Scheffeln: Mafia Expansion,2,20,2014,0,8,103,78,0,,N/A,20,boardgameexpansion/boargame,182754,20
"Card Game,Expansion for Base-game,Fantasy",N/A,,13,6.89,,Draco Magi: Expansion 1,2,30,2016,22,2,103,82,0,"Area Control / Area Influence,Card Drafting,Hand Management",22,30,boardgameexpansion/boargame,182810,20
"Adventure,Comic Book / Strip,Fighting",N/A,,13,6.5,"Crowdfunding: Kickstarter,Promotional Cards,Superheroes",Heroes Wanted: Walrus Promo Card,1,60,2016,16,5,103,89,0,"Dice Rolling,Hand Management,Pick-up and Deliver,Variable Player Powers",16,60,boardgameexpansion/boargame,182917,60
Dice,5.561,,6,6.71,Rory's Story Cubes,Rory's Story Cubes: Animalia,1,20,2015,53,12,103,93,5.56088,"Co-operative Play,Dice Rolling,Pattern Recognition,Storytelling",53,20,boardgameexpansion/boargame,182952,20
Dice,5.573,,6,6.85,Rory's Story Cubes,Rory's Story Cubes: Mythic,1,20,2015,59,12,103,95,5.57341,"Co-operative Play,Dice Rolling,Pattern Recognition,Storytelling",59,20,boardgameexpansion/boargame,182954,20
Expansion for Base-game,5.993,,12,8.64,"Campaign Games,Crowdfunding: Kickstarter,Shadows of Brimstone",Shadows of Brimstone: Frontier Town Expansion,1,0,2015,205,6,103,97,5.99256,,205,0,boardgameexpansion/boargame,183017,120
"American West,Miniatures,Modern Warfare,Science Fiction,Wargame",N/A,,10,7,,Chain Reaction 2015,1,120,2015,4,8,103,98,0,Dice Rolling,4,120,boardgameexpansion/boargame,183033,30
"Exploration,Fantasy",N/A,,13,7,,Gem Rush Skill Cards,1,45,2015,4,6,103,100,0,"Co-operative Play,Hand Management,Modular Board,Set Collection,Tile Placement",4,45,boardgameexpansion/boargame,183091,45
"Bluffing,Deduction,Expansion for Base-game,Mafia,Party Game",5.669,,14,6.85,"Country: Cuba,Werewolf / Mafia",Mafia de Cuba: Revolución,6,20,2015,137,12,104,3,5.66908,"Partnerships,Role Playing,Variable Player Powers",137,20,boardgameexpansion/boargame,183138,10
"Card Game,Expansion for Base-game,Fan Expansion,Humor,Mature / Adult,Party Game",N/A,,18,6.68,Cards Against Humanity,Cards & Punishment: Vol. 1 (unofficial expansion for Cards Against Humanity),4,0,2014,5,30,104,8,0,"Betting/Wagering,Simultaneous Action Selection,Voting",5,0,boardgameexpansion/boargame,183232,30
"Adventure,Bluffing,Deduction,Exploration,Fighting,Science Fiction",N/A,,12,6.75,,Chaosmos: Dimension Rip Promo Card,2,0,2015,8,4,104,15,0,"Action Point Allowance System,Card Drafting,Dice Rolling,Hand Management,Memory,Modular Board,Point to Point Movement,Time Track,Trading,Variable Player Powers",8,0,boardgameexpansion/boargame,183323,60
"Deduction,Expansion for Base-game,Murder/Mystery",5.582,,0,8.15,Mysterium,Mysterium Hidden Signs,2,0,2016,33,7,104,32,5.58183,Hand Management,33,0,boardgameexpansion/boargame,183431,0
"Aviation / Flight,Dice,Expansion for Base-game,Miniatures,Movies / TV / Radio theme,Science Fiction,Wargame",N/A,,14,6.5,"Star Trek,Star Trek: Attack Wing Miniatures Game",Star Trek: Attack Wing – I.R.W. T'Met,2,60,2016,2,99,104,35,0,"Action / Movement Programming,Dice Rolling,Point to Point Movement,Simultaneous Action Selection,Variable Phase Order",2,60,boardgameexpansion/boargame,183445,60
"Collectible Components,Dice,Expansion for Base-game,Fantasy,Fighting",5.572,,14,7.26,"Dice Masters,Dungeons & Dragons",Dungeons & Dragons Dice Masters: Battle for Faerûn Minsc and Boo Promo Card,2,60,2015,43,2,104,41,5.57181,"Deck / Pool Building,Dice Rolling,Variable Player Powers",43,60,boardgameexpansion/boargame,183482,30
"Civilization,Science Fiction",N/A,,12,N/A,,Alpha Colony: The Galaxy Prime Expansion,2,60,2015,0,4,104,43,0,Simulation,N/A,60,boardgameexpansion/boargame,183505,30
"Card Game,Party Game",N/A,,17,6.6,,The Metagame: Science Fiction Expansion,2,0,2015,5,33,104,50,0,,5,0,boardgameexpansion/boargame,183566,10
"Card Game,Expansion for Base-game,Fantasy",N/A,,13,6.5,Ascension Deck Building Game,Ascension: Nyxian Corruptor Promo,2,0,2015,2,4,104,54,0,"Card Drafting,Deck / Pool Building",2,0,boardgameexpansion/boargame,183645,30
"Adventure,Card Game,Expansion for Base-game,Exploration",N/A,,12,5.67,"The 7th Continent,Crowdfunding: Kickstarter",The 7th Continent: The Icy Maze,1,1000,2017,3,4,104,58,0,"Co-operative Play,Modular Board,Storytelling",3,1000,boardgameexpansion/boargame,183660,5
"Economic,Expansion for Base-game,Farming,Territory Building",5.549,,0,7.03,,Citrus: New Landscape Tiles,2,0,2015,34,5,104,65,5.54931,Tile Placement,34,0,boardgameexpansion/boargame,183788,0
"Card Game,Horror,Science Fiction",5.714,,13,7.64,,XenoShyft: Onslaught – Hive Expansion,1,60,2015,106,4,104,79,5.71434,"Co-operative Play,Deck / Pool Building,Variable Player Powers",106,60,boardgameexpansion/boargame,183860,30
"Fantasy,Miniatures,Nautical,Pirates",5.572,,13,7.45,"Crowdfunding: Kickstarter,Rum & Bones",Rum & Bones: Mercenaries Promos Set #2,2,60,2015,38,6,104,81,5.57185,"Action Point Allowance System,Dice Rolling,Grid Movement,Variable Player Powers",38,60,boardgameexpansion/boargame,183917,60
"Expansion for Base-game,Miniatures,Wargame",N/A,,12,N/A,,Bushido: Temple of Ro-Kan starter set,2,0,2011,0,2,104,88,0,"Action Point Allowance System,Dice Rolling,Variable Player Powers",N/A,0,boardgameexpansion/boargame,183964,0
"Aviation / Flight,Expansion for Base-game,Miniatures,Wargame,World War II",N/A,,13,7.43,Wings of Glory / Wings of War,Wings of Glory: World War 2 – Gloster Gladiator Mk.I,2,0,2012,7,99,104,92,0,"Simulation,Simultaneous Action Selection",7,0,boardgameexpansion/boargame,183993,30
Expansion for Base-game,N/A,,8,6.5,Ticket to Ride,Alice in Wonderland (fan expansion to Ticket to Ride),2,60,2015,2,4,104,96,0,Route/Network Building,2,60,boardgameexpansion/boargame,184013,30
"Card Game,Civilization,Expansion for Base-game",N/A,,10,6.5,,Res Publica: 2230AD – New Horizons,3,60,2015,4,5,105,3,0,"Set Collection,Trading",4,60,boardgameexpansion/boargame,184042,60
,N/A,,10,7,,Schinderhannes: Schwarzer Peter,2,0,2015,2,4,105,7,0,,2,0,boardgameexpansion/boargame,184167,0
"Fantasy,Miniatures,Nautical,Pirates",5.563,,14,7.33,"Crowdfunding: Kickstarter,Rum & Bones",Rum & Bones: Mazu's Dreadful Curse Heroes Set #1,2,0,2015,36,6,105,11,5.5634,"Action Point Allowance System,Dice Rolling,Grid Movement,Variable Player Powers",36,0,boardgameexpansion/boargame,184182,60
"Fantasy,Miniatures,Nautical,Pirates",5.55,,14,7.25,"Crowdfunding: Kickstarter,Rum & Bones",Rum & Bones: Skullkickers,2,0,2015,30,6,105,15,5.55004,"Action Point Allowance System,Dice Rolling,Grid Movement,Variable Player Powers",30,0,boardgameexpansion/boargame,184187,60
"Dice,Expansion for Base-game",N/A,,8,7.5,,Tutto: Sechsling-Karte,2,30,2015,3,10,105,19,0,"Dice Rolling,Press Your Luck",3,30,boardgameexpansion/boargame,184215,30
"Expansion for Base-game,Wargame",N/A,,10,7.25,"Advanced Squad Leader,Magazine: Schwerpunkt",Schwerpunkt: Volume 20,2,0,2014,4,2,105,22,0,Hex-and-Counter,4,0,boardgameexpansion/boargame,184219,0
"Expansion for Base-game,Medieval",N/A,,10,N/A,,Hellweg westfalicus: Dortmund,2,45,2015,0,4,105,30,0,,N/A,45,boardgameexpansion/boargame,184308,0
"City Building,Economic,Territory Building",N/A,,12,7.58,Small City,Small City: Character Meeple Expansion 1 – The Political Activist,1,120,2015,12,4,105,35,0,"Variable Player Powers,Worker Placement",12,120,boardgameexpansion/boargame,184516,60
"Wargame,World War II",N/A,,14,4.25,Advanced Tobruk System,ATS Spanish Blue Division: Eastern Front 1941,1,360,2015,2,2,105,40,0,Hex-and-Counter,2,360,boardgameexpansion/boargame,184537,120
"Modern Warfare,Wargame",N/A,,12,7.86,Lock 'n Load Tactical,Lock 'n Load Tactical: Heroes of the Falklands,2,480,2015,16,2,105,44,0,"Dice Rolling,Hex-and-Counter",16,480,boardgameexpansion/boargame,184560,120
"Wargame,World War II",N/A,,14,N/A,Advanced Squad Leader,The Dutch Pack,2,0,2007,0,2,105,50,0,"Dice Rolling,Hex-and-Counter,Modular Board,Secret Unit Deployment",N/A,0,boardgameexpansion/boargame,184677,0
"City Building,Dice,Negotiation",N/A,,10,6.75,,Age of Craft: Rebel Army,2,60,2015,1,4,105,54,0,"Dice Rolling,Trading",1,60,boardgameexpansion/boargame,184798,40
"Fantasy,Video Game Theme",N/A,,12,5.33,Crowdfunding: Kickstarter,The King's Armory: Firepower Expansion Set,1,120,2015,3,7,105,62,0,"Action Point Allowance System,Co-operative Play,Dice Rolling,Grid Movement,Modular Board,Route/Network Building,Variable Player Powers",3,120,boardgameexpansion/boargame,184860,120
"Fantasy,Video Game Theme",N/A,,12,6.5,Crowdfunding: Kickstarter,The King's Armory: Fairytale Expansion Set,1,120,2015,2,7,105,69,0,"Action Point Allowance System,Co-operative Play,Dice Rolling,Grid Movement,Modular Board,Variable Player Powers",2,120,boardgameexpansion/boargame,184872,120
"Expansion for Base-game,Fantasy",N/A,,12,N/A,,Advanced Transmogrification,3,30,2011,0,5,105,76,0,Campaign / Battle Card Driven,N/A,30,boardgameexpansion/boargame,184931,20
"Expansion for Base-game,World War I,World War II",N/A,,14,7,Advanced Squad Leader,Blitzkrieg Pack,2,0,2004,1,2,105,80,0,"Dice Rolling,Hex-and-Counter,Modular Board,Secret Unit Deployment",1,0,boardgameexpansion/boargame,184968,0
"Expansion for Base-game,Wargame,World War II",N/A,,14,6,Advanced Tobruk System,ATS Sealed Fate: Case White 1939,1,360,2015,4,2,105,84,0,Hex-and-Counter,4,360,boardgameexpansion/boargame,184975,120
"Wargame,World War II",N/A,,14,N/A,Advanced Tobruk System,ATS Core Module: Arnhem – One Bridge... Too Far 1944,1,360,2014,0,2,105,88,0,Hex-and-Counter,N/A,360,boardgameexpansion/boargame,184983,120
"Aviation / Flight,Fighting,Miniatures,Wargame,World War I",N/A,,0,7.56,Wings of Glory / Wings of War,Wings of Glory: World War 1 – Halberstadt CL.II,2,0,2014,9,13,105,92,0,"Simulation,Simultaneous Action Selection",9,0,boardgameexpansion/boargame,184995,30
Expansion for Base-game,N/A,,10,7.06,,Samara: Expansion 2 – Winter & Summer Tiles,2,50,2015,18,5,105,94,0,,18,50,boardgameexpansion/boargame,185040,30
"Civilization,Expansion for Base-game,Exploration,Renaissance",5.566,,10,7.4,BoardGameGeek Promo Offerings,Empires: Age of Discovery – Bonus Capital Buildings,2,150,2015,36,6,105,96,5.56625,"Area Control / Area Influence,Worker Placement",36,150,boardgameexpansion/boargame,185044,50
"Card Game,Expansion for Base-game,Fighting,Video Game Theme",N/A,,15,7.08,"Cerberus Engine: Heroes,Promotional Cards",CapCom Street Fighter Deck-Building Game: Blanka Promo,2,0,2014,12,5,105,100,0,Deck / Pool Building,12,0,boardgameexpansion/boargame,185084,45
"Expansion for Base-game,Fan Expansion,Print & Play",N/A,,8,N/A,Ticket to Ride,Borneo (fan expansion to Ticket to Ride),2,60,2015,0,4,106,8,0,Route/Network Building,N/A,60,boardgameexpansion/boargame,185200,30
"Expansion for Base-game,Fan Expansion,Print & Play",N/A,,8,6,Ticket to Ride,Eastern Europe (fan expansion to Ticket to Ride),2,60,2015,1,4,106,13,0,Route/Network Building,1,60,boardgameexpansion/boargame,185205,30
"Expansion for Base-game,Fan Expansion,Print & Play",N/A,,8,10,Ticket to Ride,Hungary (fan expansion to Ticket to Ride),2,60,2015,1,4,106,17,0,Route/Network Building,1,60,boardgameexpansion/boargame,185209,30
"Expansion for Base-game,Fan Expansion,Print & Play",N/A,,8,N/A,Ticket to Ride,Slovakia (fan expansion to Ticket to Ride),2,60,2015,0,4,106,23,0,Route/Network Building,N/A,60,boardgameexpansion/boargame,185215,30
"Expansion for Base-game,Music",N/A,,12,7.72,Music Making & Makers,Thrash'n Roll: Stage Heroes,2,90,2015,18,4,106,30,0,,18,90,boardgameexpansion/boargame,185282,45
"Expansion for Base-game,Trains,Travel",5.653,,8,7.26,Ticket to Ride,Ticket to Ride: Orient Express,2,60,2015,98,5,106,34,5.65328,"Card Drafting,Hand Management,Route/Network Building,Set Collection",98,60,boardgameexpansion/boargame,185306,30
"Adventure,Expansion for Base-game,Fantasy,Horror",N/A,,12,7.41,"Darkest Night,Victory Point Games Euro-Family Series",Darkest Night: Tinker Promo,1,0,2015,19,4,106,38,0,"Co-operative Play,Dice Rolling,Variable Player Powers",19,0,boardgameexpansion/boargame,185312,150
Card Game,N/A,,0,7.17,"Anime & Manga,Cerberus Engine: Heroes",Naruto Shippuden Deck-building Game: Mecha-Naruto Promo,0,0,2014,6,0,106,45,0,Deck / Pool Building,6,0,boardgameexpansion/boargame,185368,0
"Card Game,Fantasy",N/A,,12,6.89,,The Big Book of Madness: Golem promo,2,90,2015,18,5,106,49,0,"Co-operative Play,Deck / Pool Building",18,90,boardgameexpansion/boargame,185582,60
"Card Game,City Building,Civilization,Economic,Fantasy",N/A,,13,7.16,"Arzium Setting,Crowdfunding: Kickstarter,Steampunk",City of Iron: Clockwork Fortress and Cave Market Promo,2,120,2013,18,4,106,53,0,"Action Point Allowance System,Area Control / Area Influence,Card Drafting,Deck / Pool Building,Hand Management,Variable Player Powers",18,120,boardgameexpansion/boargame,185767,0
"American West,City Building,Expansion for Base-game",5.569,,12,7.36,"Cities: Carson City (Nevada, USA),Country: USA,Crowdfunding: Kickstarter,Promotional Cards",Carson City: The Lawyer / Editor,2,0,2015,42,6,106,58,5.56881,"Dice Rolling,Tile Placement,Variable Player Powers,Worker Placement",42,0,boardgameexpansion/boargame,185790,90
"Expansion for Base-game,Medieval",5.738,,14,7.69,Orléans,Orléans: Neue Ortskarten N°3,2,0,2015,120,5,106,63,5.73842,"Deck / Pool Building,Point to Point Movement",120,0,boardgameexpansion/boargame,185922,0
"Card Game,Expansion for Base-game,Fantasy",N/A,,0,7.9,"Pathfinder Adventure Card Game,Promotional Cards","Pathfinder Adventure Card Game: Wrath of the Righteous – ""Improvised Dinosaur"" Promo Card",1,0,2015,19,6,106,67,0,"Campaign / Battle Card Driven,Co-operative Play,Deck / Pool Building,Dice Rolling,Variable Player Powers",19,0,boardgameexpansion/boargame,185986,0
"Expansion for Base-game,Fighting,Horror",5.724,,0,8.17,Crowdfunding: Kickstarter,The Others: 7 Sins – Apocalypse Expansion,2,0,2016,99,5,106,77,5.72403,"Area Control / Area Influence,Dice Rolling,Modular Board,Variable Player Powers",99,0,boardgameexpansion/boargame,186076,0
"Expansion for Base-game,Fighting,Horror",5.787,,0,7.9,Crowdfunding: Kickstarter,The Others: 7 Sins – Lust Expansion,2,0,2016,136,5,106,83,5.78658,"Area Control / Area Influence,Dice Rolling,Modular Board,Variable Player Powers",136,0,boardgameexpansion/boargame,186091,0
"Expansion for Base-game,Fighting,Horror",5.792,,0,7.8,Crowdfunding: Kickstarter,The Others: 7 Sins – Beta Team Expansion,2,0,2016,146,5,106,87,5.79157,"Area Control / Area Influence,Dice Rolling,Modular Board,Variable Player Powers",146,0,boardgameexpansion/boargame,186105,0
"Collectible Components,Comic Book / Strip,Dice,Expansion for Base-game,Fighting,Miniatures",N/A,,8,7.79,"Clix,CMGs (Collectible Miniatures Games),Comics: DC Universe,Comics: Marvel Universe,HeroClix,Superheroes",Marvel Heroclix: Sentinel,0,0,0,7,0,106,91,0,"Action Point Allowance System,Dice Rolling,Variable Player Powers",7,0,boardgameexpansion/boargame,186122,0
"City Building,Expansion for Base-game,Medieval",5.547,,0,6.6,"Carcassonne,Carcassonne Minis",Carcassonne: Bonusplättchen Spiel 2015,0,0,2015,46,0,106,93,5.54717,"Area Control / Area Influence,Tile Placement",46,0,boardgameexpansion/boargame,186143,0
"Card Game,Expansion for Base-game,Fantasy",N/A,,0,8.11,"Pathfinder Adventure Card Game,Promotional Cards","Pathfinder Adventure Card Game: Wrath of the Righteous – ""Blessing of Terendelev"" Promo Card",1,0,2015,15,6,106,95,0,"Campaign / Battle Card Driven,Co-operative Play,Deck / Pool Building,Dice Rolling,Variable Player Powers",15,0,boardgameexpansion/boargame,186147,0
Expansion for Base-game,N/A,,0,7.46,,Die Legenden von Andor: Die Taverne von Andor,2,0,2015,14,4,106,97,0,,14,0,boardgameexpansion/boargame,186149,0
"Card Game,Civilization,Expansion for Base-game,Humor",N/A,,0,6.96,,CVlizations: Promo Cards,0,0,2015,27,0,106,99,0,"Action / Movement Programming,Hand Management",27,0,boardgameexpansion/boargame,186153,0
"Abstract Strategy,Animals,Expansion for Base-game,Fan Expansion,Print & Play",N/A,,9,6.67,,Hive Colony (fan expansion for Hive),2,0,2015,3,2,107,6,0,,3,0,boardgameexpansion/boargame,186175,0
